T,TM,Tm,SLP,H,VV,V,VM,AQI
20.3,22.8,18.8,-,98,6.4,3.7,9.4,63.666666666666664
,,,,,,,,139.125
,,,,,,,,60.083333333333336
,,,,,,,,81.5
23.4,29.5,19,-,77,6.8,9.1,20.6,63.625
22.7,29.4,18,-,78,7.2,7.4,18.3,25.458333333333332
23.6,30.6,19,-,72,8.2,8.9,24.1,20.75
24.3,31.5,17,-,70,8,8.7,28.7,40.5
,,,,,,,,70.08333333333333
,,,,,,,,108.66666666666667
,,,,,,,,76.25
25.9,32.5,20.5,-,63,7.9,9.6,22.2,64.83333333333333
24.3,31.7,20,-,75,7.1,6.7,24.1,63.0
23.6,30.3,20.6,-,81,6.9,9.8,22.2,73.83333333333333
,,,,,,,,29.5
,,,,,,,,56.375
,,,,,,,,30.375
22.1,25,19.8,-,95,7.6,2.8,7.6,31.875
22.6,27.5,20.4,-,94,6.8,4.4,13,54.958333333333336
22,25.2,20,-,95,6.8,5.6,18.3,77.75
,,,,,,,,82.0
,,,,,,,,87.875
,,,,,,,,92.54166666666667
22.9,28.4,20,-,86,8.2,6.5,20.6,75.33333333333333
22.2,25.7,20,-,89,7.7,6.5,18,32.583333333333336
23.7,30,19,-,82,8.7,10.6,24.1,28.375
,,,,,,,,28.125
,,,,,,,,52.833333333333336
,,,,,,,,93.41666666666667
22.4,27.4,20,-,93,6.6,5.9,18.3,28.541666666666668
21.7,24.2,20,-,92,6.8,3.1,11.1,51.041666666666664
24.1,29,20.4,-,84,6.9,6.9,16.5,40.0
,,,,,,,,52.458333333333336
,,,,,,,,30.541666666666668
,,,,,,,,37.625
21.2,24.4,19,-,95,4.8,3.9,9.4,37.583333333333336
21.2,23.4,19.4,-,98,5.5,3.1,10.7,37.625
22.7,27.5,19.8,-,88,6.6,6.1,16.5,34.375
,,,,,,,,71.29166666666667
,,,,,,,,111.08333333333333
,,,,,,,,32.0
24.4,28,20.4,-,85,6.9,9.1,20.6,42.291666666666664
22.2,25.7,21,-,96,6.8,4.6,14.8,45.666666666666664
23.3,28.8,20.6,-,89,7.1,6.7,18.3,40.625
,,,,,,,,28.25
,,,,,,,,20.5
,,,,,,,,19.0
23.6,29.9,20.5,-,86,7.1,5.6,18.3,26.875
23.6,29,20,-,87,6.9,6.5,14.8,30.708333333333332
22.7,27.7,20,-,90,6.6,5.4,14.4,10.208333333333334
,,,,,,,,0.0
,,,,,,,,25.083333333333332
,,,,,,,,47.5
23.6,28.5,21,-,90,6.9,5.9,13,43.041666666666664
22.4,27,20.6,-,96,6.4,5,18,19.416666666666668
22.8,27.2,20.6,-,94,6.6,5.7,18.3,8.416666666666666
,,,,,,,,20.916666666666668
,,,,,,,,19.75
,,,,,,,,15.75
23.6,31.2,21,-,89,6.4,8.3,22.2,0.0
23,25,20.4,-,93,6.6,2.8,7.6,0.0
23.2,28.2,20,-,91,6.8,8.3,20.6,4.833333333333333
,,,,,,,,8.291666666666666
,,,,,,,,9.333333333333334
,,,,,,,,5.041666666666667
24.9,30.2,21,-,82,8.2,8.3,18.3,15.375
24.1,30,20.6,-,86,8.2,8.9,24.1,19.833333333333332
23.6,28.4,21,-,89,7.4,9.6,20.6,25.791666666666668
23.8,28,21,-,89,6.8,6.5,16.5,22.708333333333332
,,,,,,,,27.125
,,,,,,,,42.458333333333336
,,,,,,,,35.5
23.9,29,20.8,-,87,7.6,6.7,18.3,31.333333333333332
23.4,29.3,21,-,91,6.6,5.6,27.8,47.416666666666664
23.9,29.2,20.3,-,88,7.4,8.3,18.3,33.791666666666664
,,,,,,,,54.875
,,,,,,,,49.625
,,,,,,,,35.041666666666664
23.7,29.4,20.4,-,90,6.8,7,18.3,39.041666666666664
23.7,28.9,21,-,90,6.9,7.6,18,41.708333333333336
23.6,27.3,20.5,-,89,7.2,6.3,14.8,28.75
,,,,,,,,31.0
,,,,,,,,37.791666666666664
,,,,,,,,34.041666666666664
23.3,29,20,-,88,7.7,7,20.6,12.25
23.1,28.2,20.5,-,90,7.6,8.1,20.6,14.5
23.1,29.3,20.6,-,89,7.2,7,21.7,23.916666666666668
,,,,,,,,26.458333333333332
,,,,,,,,25.333333333333332
,,,,,,,,24.208333333333332
23.3,27.5,20.5,-,91,6.9,5.2,13,27.375
22.4,26.5,19,-,92,6.3,7,21.7,29.208333333333332
21.4,23.8,19,-,94,6.1,4.3,11.1,36.5
,,,,,,,,57.25
,,,,,,,,38.666666666666664
,,,,,,,,28.5
23.1,29.5,19.6,-,87,7.4,5.2,18.3,27.833333333333332
23.7,29,19.8,-,85,7.1,6.7,18.3,44.125
23.6,29,19.6,-,85,7.2,7.6,24.1,62.25
22.1,27.2,20,-,90,7.2,4.8,14.8,60.125
,,,,,,,,54.25
,,,,,,,,43.083333333333336
,,,,,,,,37.416666666666664
22.8,29.8,20,-,91,7.2,5.7,25.2,34.666666666666664
22.7,29.7,19.6,-,88,7.2,5.4,20.6,39.208333333333336
21.6,25,19.5,-,94,6.9,3.9,9.4,38.708333333333336
,,,,,,,,31.375
,,,,,,,,16.583333333333332
,,,,,,,,66.83333333333333
23.1,30.7,19,-,86,7.6,5.6,21.7,69.95833333333333
23.6,29,19.5,-,83,7.6,5.4,18,94.375
21.9,25,20,-,91,7.2,6.5,16.5,85.75
,,,,,,,,80.66666666666667
,,,,,,,,93.66666666666667
,,,,,,,,39.5
24,31,19.5,-,82,8,7.6,18.3,51.666666666666664
22.3,29.3,19.8,-,91,6.8,6.9,21.7,39.416666666666664
22.8,29.4,19,-,84,8,7,16.5,23.958333333333332
,,,,,,,,19.916666666666668
,,,,,,,,11.5
,,,,,,,,32.958333333333336
22.6,29.6,19,-,85,7.1,6.5,28.7,43.5
22,29.5,18.8,-,86,6.9,4.3,11.1,50.416666666666664
21.9,29.7,18.5,-,88,7.1,5.7,25.2,55.708333333333336
,,,,,,,,47.083333333333336
,,,,,,,,51.458333333333336
,,,,,,,,35.541666666666664
22.4,28.7,19,-,84,7.2,6.3,20.6,57.125
21.7,27,19,-,84,7.9,8.3,43.2,69.375
21.7,29,18.6,-,86,7.6,8.1,43.2,65.375
,,,,,,,,75.625
,,,,,,,,88.95833333333333
,,,,,,,,93.25
22.6,28.4,18.5,-,82,7.4,6.3,18.3,112.29166666666667
22.7,29.5,17.7,-,81,7.2,7.2,20.6,97.70833333333333
22.9,29.3,18.3,-,80,6.3,7.8,18.3,80.70833333333333
,,,,,,,,69.25
,,,,,,,,55.916666666666664
,,,,,,,,62.708333333333336
23.2,31.5,17.5,-,72,7.6,5.9,18.3,81.625
23.2,31.6,16.7,-,71,7.2,6.7,18.3,65.375
23.4,30.4,16.5,-,74,8,5.6,18.3,84.375
,,,,,,,,115.875
,,,,,,,,140.16666666666666
,,,,,,,,175.375
19.8,22,18,-,95,6.9,8.7,25.2,141.95833333333334
20.3,25.9,17,-,90,7.2,6.5,21.7,153.375
20,28.5,16,-,80,8.5,7.2,28.7,162.875
,,,,,,,,115.70833333333333
,,,,,,,,100.625
,,,,,,,,91.125
18.3,25.4,13.5,-,82,6,6.3,16.5,0.0
18.4,25.5,14.4,-,74,6.4,6.1,21.7,49.333333333333336
18.2,25.1,13,-,74,7.1,5.9,25.2,107.33333333333333
,,,,,,,,80.16666666666667
,,,,,,,,84.04166666666667
,,,,,,,,97.25
17.4,23.9,11,-,72,6.9,7.2,28.7,273.625
17.1,24.8,13,-,74,6.3,7.2,20.6,256.9583333333333
16.7,23.5,11.6,-,74,6.3,5.4,14.8,185.08333333333334
16.3,24.2,11.4,-,72,6.6,6.1,28.7,249.5
,,,,,,,,269.5833333333333
,,,,,,,,135.375
,,,,,,,,166.16666666666666
15.6,23.8,10,-,72,6.9,5.6,14.4,365.75
15.8,24,9.2,-,72,7.4,5.6,14.8,241.875
15.9,24,9,-,69,7.4,5.9,13,176.875
,,,,,,,,205.0
,,,,,,,,113.625
,,,,,,,,296.875
14.3,22,8,-,73,6.4,5.4,14.8,353.0416666666667
14.4,22.2,8,-,72,7.1,6.1,14.8,257.4166666666667
14.7,22.2,8.8,-,74,6.8,5.6,14.8,204.75
,,,,,,,,160.95833333333334
,,,,,,,,130.75
,,,,,,,,174.79166666666666
13.9,19.5,8,-,78,5.3,4.6,14.4,207.83333333333334
14.6,22.8,7.8,-,75,6.1,5.2,22.2,268.1666666666667
15.9,24.8,8.8,-,74,6.9,6.1,20.6,278.3333333333333
,,,,,,,,256.7083333333333
,,,,,,,,279.5833333333333
,,,,,,,,280.2083333333333
13.7,20,8.2,-,82,3.5,5.6,25.2,157.5
13.1,19.6,8.8,-,82,4.2,5.6,14.4,156.375
13,20.8,7.6,-,78,4,4.8,11.1,200.5
,,,,,,,,267.0416666666667
,,,,,,,,272.0833333333333
,,,,,,,,337.125
13.8,22.4,6.3,-,66,6.4,4.6,16.5,212.125
15.1,22,8,-,64,6.6,5.2,18,190.5
14.6,20.7,10.8,-,77,6,5,16.5,236.41666666666666
,,,,,,,,187.875
,,,,,,,,252.54166666666666
,,,,,,,,312.625
13.7,22.7,7,-,71,7.6,6.9,18.3,286.375
12.9,22,6.3,-,69,7.1,5.2,14.8,288.0833333333333
13,21,6.2,-,70,6.3,4.8,18.3,302.4583333333333
,,,,,,,,261.25
,,,,,,,,269.125
,,,,,,,,249.95833333333334
11,19.8,4,-,63,6.4,4.6,14.8,163.0
11.1,20,0,-,66,6.6,5.6,14.8,161.375
9.9,18,4,-,72,6,5.2,16.5,157.375
,,,,,,,,162.875
,,,,,,,,244.16666666666666
,,,,,,,,239.79166666666666
9.5,17.4,3,-,70,5.8,6.3,28.7,245.91666666666666
9.4,17.4,3,-,69,5.6,6.1,14.8,264.5833333333333
9.7,19,3,-,65,5.8,5.6,21.7,253.29166666666666
,,,,,,,,338.625
,,,,,,,,431.8333333333333
,,,,,,,,215.25
9.6,17.4,4,-,78,5.1,6.1,14.8,181.20833333333334
10,16.5,4,-,74,4.8,4.8,13,210.875
9.7,17,4,-,76,4.3,5.9,14.8,255.33333333333334
,,,,,,,,199.91666666666666
,,,,,,,,190.5
,,,,,,,,199.58333333333334
8.4,15,4,-,81,4.2,4.6,13
